gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500403,1610612752,New York,Knicks,NYK,knicks,240:00,596.8,119.4,618.3,123.7,-21.5,-4.3,0.45,1.38,13.8,0.373,0.735,0.55,13.978,14.0,0.528,0.568,1.0,0.982,18.6,93.0,77.5,93.0,0.452
0042500403,1610612759,San Antonio,Spurs,SAS,spurs,240:00,618.3,123.7,596.8,119.4,21.5,4.3,0.718,3.5,20.9,0.265,0.627,0.45,8.602,8.6,0.536,0.586,1.0,0.991,18.6,93.0,77.5,93.0,0.548
