gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500402,1610612759,San Antonio,Spurs,SAS,spurs,240:00,525.3,105.1,541.2,108.2,-16.0,-3.2,0.595,1.38,16.9,0.222,0.691,0.48,16.162,16.2,0.545,0.579,1.0,0.963,19.6,98.0,81.67,99.0,0.497
0042500402,1610612752,New York,Knicks,NYK,knicks,240:00,541.2,108.2,525.3,105.1,16.0,3.2,0.784,1.93,20.3,0.309,0.778,0.52,15.464,15.5,0.5,0.534,1.0,0.965,19.6,98.0,81.67,97.0,0.503
