gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500401,1610612752,New York,Knicks,NYK,knicks,1628404,Josh,Hart,J. Hart,josh-hart,F,,,26:47,114.5,114.5,74.5,74.5,40.0,40.0,0.286,0.0,54.5,0.071,0.351,0.231,0.0,0.2,0.276,0.082,0.082,98.57,98.57,82.14,55.0,0.26
0042500401,1610612752,New York,Knicks,NYK,knicks,1628384,OG,Anunoby,O. Anunoby,og-anunoby,F,,,31:07,86.6,86.6,101.6,101.6,-15.0,-15.0,0.0,0.0,0.0,0.0,0.073,0.037,0.0,0.542,0.618,0.179,0.179,100.27,100.27,83.56,67.0,0.159
0042500401,1610612752,New York,Knicks,NYK,knicks,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,,34:22,102.8,102.8,88.2,88.2,14.5,14.5,0.2,2.0,18.2,0.091,0.174,0.133,9.1,0.467,0.537,0.209,0.209,97.76,97.76,81.47,72.0,0.186
0042500401,1610612752,New York,Knicks,NYK,knicks,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,G,,,28:12,100.0,100.0,86.2,86.2,13.8,13.8,0.158,3.0,25.0,0.059,0.029,0.044,8.3,0.5,0.58,0.127,0.127,101.28,101.28,84.4,61.0,0.099
0042500401,1610612752,New York,Knicks,NYK,knicks,1628973,Jalen,Brunson,J. Brunson,jalen-brunson,G,,,37:03,101.3,101.3,94.9,94.9,6.3,6.3,0.118,0.5,5.1,0.022,0.043,0.033,10.3,0.419,0.458,0.402,0.402,103.0,103.0,85.83,80.0,0.079
0042500401,1610612752,New York,Knicks,NYK,knicks,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,33:16,95.8,95.8,108.3,108.3,-12.6,-12.6,0.0,0.0,0.0,0.0,0.026,0.012,0.0,0.722,0.722,0.107,0.107,103.17,103.17,85.98,71.0,0.05
0042500401,1610612752,New York,Knicks,NYK,knicks,1630540,Miles,McBride,M. McBride,miles-mcbride,,,,19:28,122.0,122.0,97.5,97.5,24.5,24.5,0.235,0.0,36.4,0.0,0.042,0.023,0.0,0.429,0.429,0.149,0.149,99.86,99.86,83.22,41.0,0.071
0042500401,1610612752,New York,Knicks,NYK,knicks,1629011,Mitchell,Robinson,M. Robinson,mitchell-robinson,,,,13:09,103.3,103.3,116.7,116.7,-13.3,-13.3,0.0,0.0,0.0,0.077,0.385,0.231,0.0,0.5,0.41,0.063,0.063,109.51,109.51,91.25,30.0,0.078
0042500401,1610612752,New York,Knicks,NYK,knicks,1630631,Jose,Alvarado,J. Alvarado,jose-alvarado,,,,10:57,104.3,104.3,100.0,100.0,4.3,4.3,0.143,1.0,12.5,0.0,0.308,0.16,12.5,0.583,0.583,0.259,0.259,94.25,94.25,78.54,23.0,0.171
0042500401,1610612752,New York,Knicks,NYK,knicks,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,,5:39,136.4,136.4,108.3,108.3,28.0,28.0,0.0,0.0,0.0,0.0,0.167,0.083,0.0,0.0,0.0,0.077,0.077,97.7,97.7,81.42,11.0,-0.044
0042500401,1610612752,New York,Knicks,NYK,knicks,1642359,Pacôme,Dadiet,P. Dadiet,pacôme-dadiet,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500401,1610612752,New York,Knicks,NYK,knicks,1642885,Mohamed,Diawara,M. Diawara,mohamed-diawara,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500401,1610612752,New York,Knicks,NYK,knicks,1630574,Ariel,Hukporti,A. Hukporti,ariel-hukporti,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500401,1610612752,New York,Knicks,NYK,knicks,1642278,Tyler,Kolek,T. Kolek,tyler-kolek,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500401,1610612752,New York,Knicks,NYK,knicks,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500401,1610612759,San Antonio,Spurs,SAS,spurs,1630170,Devin,Vassell,D. Vassell,devin-vassell,F,,,36:01,87.0,87.0,102.6,102.6,-15.6,-15.6,0.158,3.0,20.0,0.082,0.116,0.098,6.7,0.409,0.409,0.132,0.132,103.29,103.29,86.07,77.0,0.089
0042500401,1610612759,San Antonio,Spurs,SAS,spurs,1630577,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,31:13,96.9,96.9,106.0,106.0,-9.0,-9.0,0.063,0.0,7.7,0.079,0.189,0.133,0.0,0.682,0.673,0.158,0.158,101.48,101.48,84.57,65.0,0.159
0042500401,1610612759,San Antonio,Spurs,SAS,spurs,1641705,Victor,Wembanyama,V. Wembanyama,victor-wembanyama,C,,,37:48,93.5,93.5,96.2,96.2,-2.6,-2.6,0.111,0.33,5.7,0.063,0.191,0.126,17.1,0.333,0.487,0.355,0.355,98.41,98.41,82.01,77.0,0.151
