gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500404,1610612752,New York,Knicks,NYK,knicks,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,G,,,28:07,103.4,103.4,106.9,106.9,-3.4,-3.4,0.125,0.0,18.2,0.0,0.061,0.031,0.0,0.389,0.389,0.136,0.136,99.03,99.03,82.53,58.0,0.047
0042500404,1610612752,New York,Knicks,NYK,knicks,1628973,Jalen,Brunson,J. Brunson,jalen-brunson,G,,,44:27,116.1,116.1,103.4,103.4,12.6,12.6,0.304,2.33,17.5,0.0,0.102,0.053,7.5,0.54,0.603,0.33,0.33,93.94,93.94,78.28,87.0,0.199
0042500404,1610612752,New York,Knicks,NYK,knicks,1629011,Mitchell,Robinson,M. Robinson,mitchell-robinson,,,,12:59,80.0,80.0,113.3,113.3,-33.3,-33.3,0.2,1.0,11.1,0.176,0.125,0.152,11.1,0.2,0.148,0.276,0.276,101.67,101.67,84.72,25.0,-0.067
0042500404,1610612752,New York,Knicks,NYK,knicks,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,20:30,100.0,100.0,128.6,128.6,-28.6,-28.6,0.071,0.0,25.0,0.0,0.087,0.045,0.0,0.0,0.0,0.064,0.064,97.17,97.17,80.98,41.0,-0.013
0042500404,1610612752,New York,Knicks,NYK,knicks,1630574,Ariel,Hukporti,A. Hukporti,ariel-hukporti,,,,3:27,157.1,157.1,100.0,100.0,57.1,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.35,104.35,86.96,7.0,-0.024
0042500404,1610612752,New York,Knicks,NYK,knicks,1630631,Jose,Alvarado,J. Alvarado,jose-alvarado,,,,15:38,141.9,141.9,110.0,110.0,31.9,31.9,0.25,3.0,37.5,0.0,0.133,0.091,12.5,1.0,1.0,0.152,0.152,93.62,93.62,78.01,31.0,0.092
0042500404,1610612752,New York,Knicks,NYK,knicks,1630540,Miles,McBride,M. McBride,miles-mcbride,,,,7:12,80.0,80.0,185.7,185.7,-105.7,-105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.235,96.67,96.67,80.56,15.0,-0.131
0042500404,1610612752,New York,Knicks,NYK,knicks,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,,,2:60,83.3,83.3,183.3,183.3,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,96.16,96.16,80.13,6.0,-0.08
0042500404,1610612752,New York,Knicks,NYK,knicks,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,,4:40,70.0,70.0,50.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,0.125,0.077,40.0,0.333,0.333,0.455,0.455,102.86,102.86,85.71,10.0,-1.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1642359,Pacôme,Dadiet,P. Dadiet,pacôme-dadiet,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1642885,Mohamed,Diawara,M. Diawara,mohamed-diawara,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1642278,Tyler,Kolek,T. Kolek,tyler-kolek,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
