gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0042500404,1610612752,New York,Knicks,NYK,knicks,240:00,575.3,115.1,563.8,112.8,11.4,2.3,0.639,1.53,17.8,0.283,0.692,0.5,16.129,16.1,0.558,0.592,1.0,0.962,18.7,93.5,77.92,93.0,0.486
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,240:00,563.8,112.8,575.3,115.1,-11.4,-2.3,0.667,2.0,17.9,0.308,0.717,0.5,12.766,12.8,0.517,0.559,1.0,0.955,18.7,93.5,77.92,94.0,0.514
