gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench
0042500404,1610612752,New York,Knicks,NYK,knicks,172:35,31,58,0.534,13,22,0.591,20,24,0.833,5,24,29,18,6,1,9,10,95,Starters
0042500404,1610612752,New York,Knicks,NYK,knicks,172:35,5,20,0.25,2,10,0.2,0,4,0.0,3,7,10,5,0,3,4,11,12,Bench
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,180:37,25,66,0.379,13,35,0.371,15,18,0.833,10,23,33,20,7,4,8,12,78,Starters
0042500404,1610612759,San Antonio,Spurs,SAS,spurs,180:37,11,20,0.55,4,8,0.5,2,2,1.0,2,7,9,4,3,0,3,9,28,Bench
