gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
0042500404,1610612752,New York,Knicks,NYK,knicks,1628384,OG,Anunoby,O. Anunoby,og-anunoby,F,,,41:28,10,15,0.667,7,9,0.778,6,6,1.0,1,3,4,1,1,1,1,2,33,-1.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1628404,Josh,Hart,J. Hart,josh-hart,F,,,32:48,2,4,0.5,1,2,0.5,1,3,0.333,2,6,8,6,2,0,2,3,6,11.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1626157,Karl-Anthony,Towns,K. Towns,karl-anthony-towns,C,,,25:45,4,5,0.8,1,1,1.0,4,4,1.0,2,8,10,2,0,0,3,4,13,17.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,G,,,28:07,3,9,0.333,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,0,7,-2.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1628973,Jalen,Brunson,J. Brunson,jalen-brunson,G,,,44:27,12,25,0.48,3,7,0.429,9,11,0.818,0,5,5,7,3,0,3,1,36,11.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1629011,Mitchell,Robinson,M. Robinson,mitchell-robinson,,,,12:59,1,5,0.2,0,0,0.0,0,4,0.0,3,2,5,1,0,2,1,1,2,-14.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,20:30,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-13.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1630574,Ariel,Hukporti,A. Hukporti,ariel-hukporti,,,,3:27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,3.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1630631,Jose,Alvarado,J. Alvarado,jose-alvarado,,,,15:38,3,4,0.75,2,3,0.667,0,0,0.0,0,2,2,3,0,0,1,5,8,11.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1630540,Miles,McBride,M. McBride,miles-mcbride,,,,7:12,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-14.0
0042500404,1610612752,New York,Knicks,NYK,knicks,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,,,2:60,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6.0
