GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1630170-1630577-1642264-1642844-,D. Vassell - J. Champagnie - S. Castle - D. Harper,1610612759,SAS,18,10,8,0.556,85.733333,70,148,0.473,26,71,0.366,43,47,0.915,23,62,85,43,30.0,17,14,9,36,44,209,31.0,6,19,3192,1157,61,63,66,1295,45,50,1085,42,56,750,51,53,55,63,3164,45,32,3131,3138,48,56,29,257200
Lineups,-1626157-1628404-1628973-1630540-,K. Towns - J. Hart - J. Brunson - M. McBride,1610612752,NYK,12,11,1,0.917,81.358333,78,152,0.513,25,63,0.397,36,41,0.878,19,62,81,51,20.0,12,14,8,37,36,217,68.0,76,9,701,701,71,52,60,775,48,64,980,57,72,806,73,53,58,46,3108,87,32,3109,3142,70,50,8,244075
Lineups,-1629640-1630170-1641705-1642264-,K. Johnson - D. Vassell - V. Wembanyama - S. Castle,1610612759,SAS,17,9,8,0.529,81.175,58,137,0.423,19,54,0.352,44,55,0.8,25,58,83,40,31.0,12,6,11,41,49,179,-1.0,14,37,3192,1177,72,84,79,1682,79,75,1139,38,39,1019,40,59,57,68,3167,87,136,3158,3154,38,73,1707,243525
Lineups,-1628436-1630170-1642264-1642844-,L. Kornet - D. Vassell - S. Castle - D. Harper,1610612759,SAS,19,12,7,0.632,80.545,71,145,0.49,18,47,0.383,40,52,0.769,13,61,74,42,25.0,22,10,7,40,40,200,16.0,2,2,3161,1055,74,59,70,1201,89,103,1010,46,42,1134,133,56,65,66,3141,29,59,3078,3152,61,60,104,241635
Lineups,-1628368-1630577-1641705-1642844-,D. Fox - J. Champagnie - V. Wembanyama - D. Harper,1610612759,SAS,16,10,6,0.625,75.358333,68,135,0.504,15,51,0.294,34,45,0.756,16,51,67,32,18.0,7,11,6,23,39,185,28.0,25,19,3129,1056,82,66,82,796,119,84,1484,65,63,1160,96,82,82,101,3096,199,49,3041,3046,65,71,40,226075
Lineups,-1629640-1630170-1641705-1642844-,K. Johnson - D. Vassell - V. Wembanyama - D. Harper,1610612759,SAS,19,11,8,0.579,74.186667,54,128,0.422,14,47,0.298,57,67,0.851,23,58,81,29,24.0,16,10,11,41,49,179,29.0,2,9,3192,1136,84,98,87,1690,131,103,1478,27,34,891,51,59,58,121,3136,48,59,3158,3154,38,73,33,222560
Lineups,-1629640-1641705-1642264-1642844-,K. Johnson - V. Wembanyama - S. Castle - D. Harper,1610612759,SAS,17,10,7,0.588,68.366667,52,121,0.43,19,53,0.358,40,51,0.784,23,55,78,34,22.0,9,9,10,27,40,163,21.0,14,19,3161,1126,91,104,94,1601,79,79,1118,46,45,1105,51,65,62,91,3124,133,69,3146,3082,61,80,67,205100
Lineups,-1628436-1629640-1630170-1642844-,L. Kornet - K. Johnson - D. Vassell - D. Harper,1610612759,SAS,18,12,6,0.667,68.098333,55,131,0.42,12,41,0.293,34,46,0.739,23,52,75,32,20.0,14,7,4,33,33,156,5.0,6,2,3129,906,92,95,84,1702,168,131,1492,65,59,1326,51,74,64,101,3108,63,103,2903,3123,83,93,491,204295
Lineups,-1628436-1630170-1630577-1642264-,L. Kornet - D. Vassell - J. Champagnie - S. Castle,1610612759,SAS,16,9,7,0.563,66.858333,57,120,0.475,14,39,0.359,30,35,0.857,15,55,70,34,25.0,12,15,8,35,32,158,-9.0,25,37,3161,1153,96,88,96,1278,131,140,1116,83,101,853,104,65,73,91,3141,87,28,3109,3131,85,90,2919,200575
Lineups,-1628368-1628436-1630170-1642844-,D. Fox - L. Kornet - D. Vassell - D. Harper,1610612759,SAS,18,11,7,0.611,63.888333,56,131,0.427,14,42,0.333,29,38,0.763,24,45,69,32,17.0,13,8,8,39,29,155,3.0,6,9,3161,1070,104,91,84,1671,131,124,1167,86,87,1153,46,97,74,101,3082,77,83,3109,3149,105,94,727,191665
