GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1630170-1641705-1642264-,D. Vassell - V. Wembanyama - S. Castle,1610612759,SAS,20,12,8,0.6,397.061667,324,701,0.462,113,308,0.367,175,210,0.833,89,301,390,212,114.0,71,63,37,173,197,936,141.0,11,25,2736,791,2,3,2,1144,1,2,986,1,2,775,3,1,1,2,2793,3,1,2786,2795,2,2,2,1191185
Lineups,-1628404-1628969-1628973-,J. Hart - M. Bridges - J. Brunson,1610612752,NYK,17,14,3,0.824,374.79,332,660,0.503,101,260,0.388,144,177,0.814,66,259,325,213,101.0,74,35,36,151,167,909,89.0,61,1,1826,444,3,1,3,582,5,7,864,6,6,878,14,5,5,1,2788,1,17,2783,2793,5,3,14,1124370
Lineups,-1630577-1641705-1642264-,J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,20,12,8,0.6,366.126667,306,650,0.471,110,304,0.362,147,176,0.835,75,262,337,194,98.0,62,56,31,141,174,869,120.0,11,25,2736,791,4,6,4,1050,2,3,1020,4,7,773,9,3,3,6,2787,12,4,2766,2787,4,5,8,1098380
Lineups,-1626157-1628404-1628973-,K. Towns - J. Hart - J. Brunson,1610612752,NYK,17,14,3,0.824,362.121667,323,648,0.498,95,260,0.365,132,156,0.846,61,256,317,212,93.0,65,42,38,150,150,873,112.0,61,1,1826,444,5,4,5,827,8,7,992,14,18,737,21,6,6,2,2782,8,13,2789,2792,12,4,11,1086365
Lineups,-1630170-1630577-1642264-,D. Vassell - J. Champagnie - S. Castle,1610612759,SAS,21,13,8,0.619,351.508333,300,638,0.47,102,281,0.363,150,174,0.862,72,260,332,189,96.0,70,61,33,147,167,852,129.0,1,6,2736,771,7,9,6,1063,4,4,1015,3,9,673,10,4,4,9,2785,4,2,2771,2791,5,7,6,1054525
Lineups,-1626157-1628969-1628973-,K. Towns - M. Bridges - J. Brunson,1610612752,NYK,17,14,3,0.824,349.866667,315,622,0.506,99,248,0.399,129,153,0.843,58,243,301,206,91.0,65,34,41,143,151,858,120.0,61,1,1826,444,8,5,7,573,6,10,829,17,22,752,26,8,9,4,2780,8,19,2792,2789,11,6,8,1049600
Lineups,-1628368-1630577-1641705-,D. Fox - J. Champagnie - V. Wembanyama,1610612759,SAS,18,11,7,0.611,342.706667,293,615,0.476,94,270,0.348,145,179,0.81,66,243,309,177,86.0,55,51,29,131,164,825,122.0,37,58,2671,783,9,11,8,979,9,6,1090,5,5,890,14,8,8,13,2770,23,8,2759,2781,7,10,7,1028120
Lineups,-1628384-1628969-1628973-,O. Anunoby - M. Bridges - J. Brunson,1610612752,NYK,15,12,3,0.8,337.716667,304,579,0.525,90,222,0.405,132,163,0.81,46,234,280,195,94.0,69,30,37,131,148,830,107.0,90,25,1826,460,10,7,14,482,11,20,715,14,16,892,50,11,19,5,2783,5,29,2786,2781,14,9,12,1013150
Lineups,-1626157-1628384-1628973-,K. Towns - O. Anunoby - J. Brunson,1610612752,NYK,15,12,3,0.8,335.61,303,592,0.512,92,235,0.391,133,158,0.842,50,232,282,192,87.0,65,32,41,132,141,831,136.0,90,25,1826,460,11,8,10,553,10,12,842,11,17,760,43,14,17,8,2773,8,24,2792,2784,19,8,4,1006830
Lineups,-1628384-1628404-1628973-,O. Anunoby - J. Hart - J. Brunson,1610612752,NYK,15,12,3,0.8,334.76,298,586,0.509,87,231,0.377,130,156,0.833,55,233,288,186,94.0,66,33,35,133,139,813,80.0,90,25,1826,460,12,10,12,566,13,16,907,16,18,775,31,12,15,10,2783,7,22,2779,2785,22,11,21,1004280
