GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,15,12,3,0.8,244.546667,220,429,0.513,64,169,0.379,82,99,0.828,31,167,198,145,63.0,49,24,27,90,93,586,53.0,5,1,1320,459,1,1,1,386,1,1,404,1,1,387,4,1,1,1,1427,1,2,1427,1427,1,1,2,733640
Lineups,-1628368-1630170-1630577-1641705-1642264-,D. Fox - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,18,11,7,0.611,202.6,181,375,0.483,62,164,0.378,81,96,0.844,35,149,184,114,44.0,44,34,18,81,90,505,113.0,1,2,1422,557,2,2,2,606,2,2,405,2,2,369,3,2,2,2,1424,2,1,1423,1426,2,2,1,607800
Lineups,-1630170-1630577-1641705-1642264-1642844-,D. Vassell - J. Champagnie - V. Wembanyama - S. Castle - D. Harper,1610612759,SAS,13,7,6,0.538,60.856667,46,104,0.442,18,52,0.346,24,26,0.923,16,44,60,29,21.0,10,8,6,20,30,134,23.0,8,10,1415,575,14,15,16,666,10,9,427,12,17,339,13,13,12,17,1415,15,10,1408,1405,10,15,9,182570
Lineups,-1629640-1630170-1641705-1642264-1642844-,K. Johnson - D. Vassell - V. Wembanyama - S. Castle - D. Harper,1610612759,SAS,17,10,7,0.588,49.933333,37,83,0.446,12,30,0.4,37,46,0.804,17,44,61,22,18.0,6,6,9,22,36,123,26.0,2,3,1422,567,20,19,23,645,21,25,375,7,6,392,9,13,11,21,1411,33,18,1417,1408,9,17,7,149800
Lineups,-1628436-1629640-1630170-1642264-1642844-,L. Kornet - K. Johnson - D. Vassell - S. Castle - D. Harper,1610612759,SAS,14,8,6,0.571,43.553333,39,83,0.47,9,27,0.333,19,26,0.731,9,36,45,26,11.0,11,3,3,19,20,106,13.0,6,5,1415,568,26,18,23,624,30,28,430,21,17,482,25,19,20,18,1396,13,49,1346,1403,26,20,25,130660
Lineups,-1628368-1628436-1630170-1630577-1642264-,D. Fox - L. Kornet - D. Vassell - J. Champagnie - S. Castle,1610612759,SAS,8,5,3,0.625,37.531667,28,66,0.424,7,22,0.318,15,18,0.833,7,30,37,19,13.0,4,8,4,16,20,78,-11.0,27,25,1320,554,28,33,29,703,43,37,526,33,35,373,44,24,26,25,1402,53,10,1382,1392,26,33,1393,112595
Lineups,-1626157-1628384-1628969-1628973-1629013-,K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,5,5,0,1.0,32.926667,33,59,0.559,12,23,0.522,20,24,0.833,5,24,29,17,8.0,7,1,6,12,22,98,52.0,71,25,1,1,35,27,36,337,21,34,202,19,20,373,64,31,37,32,1379,26,156,1408,1376,19,23,3,98780
Lineups,-1626157-1628384-1628404-1628973-1630540-,K. Towns - O. Anunoby - J. Hart - J. Brunson - M. McBride,1610612752,NYK,6,4,2,0.667,32.058333,34,62,0.548,10,23,0.435,18,19,0.947,9,27,36,18,9.0,6,5,4,14,13,96,44.0,47,44,1176,498,36,25,32,356,27,34,350,23,29,333,25,27,28,28,1388,33,22,1382,1387,45,24,4,96175
Lineups,-1626157-1628404-1628969-1628973-1630540-,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,6,5,1,0.833,31.615,27,57,0.474,11,25,0.44,11,13,0.846,8,20,28,19,8.0,3,6,3,17,15,76,7.0,47,25,452,454,37,35,38,615,25,29,347,51,60,367,36,39,40,25,1379,75,18,1346,1395,37,35,89,94845
Lineups,-1628368-1630170-1630577-1641705-1642844-,D. Fox - D. Vassell - J. Champagnie - V. Wembanyama - D. Harper,1610612759,SAS,11,7,4,0.636,30.801667,26,60,0.433,5,21,0.238,15,18,0.833,7,20,27,12,4.0,3,5,4,9,16,72,19.0,12,10,1376,552,39,37,35,681,71,38,611,33,35,373,44,39,41,50,1266,75,22,1382,1350,32,40,12,92405
Lineups,-1628368-1629640-1630577-1641705-1642844-,D. Fox - K. Johnson - J. Champagnie - V. Wembanyama - D. Harper,1610612759,SAS,14,8,6,0.571,26.416667,26,47,0.553,7,20,0.35,16,19,0.842,3,20,23,14,4.0,1,3,3,9,11,75,9.0,6,5,1415,568,44,37,45,353,43,42,424,29,29,370,130,39,50,42,1266,236,49,1346,1350,58,36,53,79250
