GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1630170-1642264-,D. Vassell - S. Castle,1610612759,SAS,21,13,8,0.619,555.198333,458,987,0.464,141,397,0.355,252,309,0.816,125,412,537,288,169.0,110,85,52,256,277,1309,123.0,1,11,1130,278,2,1,2,415,3,2,457,1,2,320,1,1,1,1,1181,1,1,1180,1183,1,1,14,1665595
Lineups,-1641705-1642264-,V. Wembanyama - S. Castle,1610612759,SAS,20,12,8,0.6,503.041667,409,880,0.465,143,396,0.361,218,267,0.816,114,372,486,267,147.0,79,75,46,211,250,1179,133.0,16,32,1130,298,4,5,3,407,1,3,428,4,7,318,5,2,2,2,1178,16,3,1172,1179,4,3,12,1509125
Lineups,-1630170-1641705-,D. Vassell - V. Wembanyama,1610612759,SAS,20,12,8,0.6,486.623333,397,862,0.461,131,368,0.356,224,268,0.836,109,366,475,254,138.0,86,79,44,217,238,1149,184.0,16,32,1130,298,5,7,4,441,6,7,453,3,6,264,8,3,4,5,1176,7,2,1168,1180,5,6,1,1459870
Lineups,-1630577-1641705-,J. Champagnie - V. Wembanyama,1610612759,SAS,20,12,8,0.6,481.658333,401,853,0.47,141,396,0.356,205,250,0.82,102,349,451,251,134.0,73,73,40,186,233,1148,155.0,16,32,1130,298,6,6,6,373,3,3,452,6,9,309,11,5,5,7,1174,22,6,1155,1170,6,7,5,1444975
Lineups,-1628404-1628973-,J. Hart - J. Brunson,1610612752,NYK,17,14,3,0.824,472.435,422,843,0.501,131,337,0.389,187,231,0.81,96,330,426,261,127.0,87,46,43,199,212,1162,143.0,49,1,554,123,8,3,7,176,6,10,319,14,15,335,17,8,8,4,1171,6,22,1166,1178,11,4,8,1417305
Lineups,-1630577-1642264-,J. Champagnie - S. Castle,1610612759,SAS,21,13,8,0.619,470.733333,388,831,0.467,134,377,0.355,193,230,0.839,97,333,430,242,136.0,81,72,39,191,223,1103,85.0,1,11,1130,278,9,10,8,391,5,5,456,10,17,262,16,6,7,11,1175,11,7,1149,1175,9,9,27,1412200
Lineups,-1628969-1628973-,M. Bridges - J. Brunson,1610612752,NYK,17,14,3,0.824,467.356667,422,822,0.513,129,314,0.411,185,231,0.801,87,325,412,264,128.0,90,39,46,191,220,1158,155.0,49,1,554,123,11,3,10,152,9,15,224,16,15,360,24,9,10,3,1172,3,32,1172,1175,10,5,5,1402070
Lineups,-1628368-1630170-,D. Fox - D. Vassell,1610612759,SAS,19,12,7,0.632,460.86,387,854,0.453,116,332,0.349,205,254,0.807,111,331,442,243,115.0,85,74,45,220,212,1095,119.0,22,32,1084,266,12,11,5,505,17,13,488,6,8,344,6,7,6,10,1162,8,4,1171,1181,11,10,15,1382580
Lineups,-1628368-1630577-,D. Fox - J. Champagnie,1610612759,SAS,19,12,7,0.632,444.785,376,801,0.469,122,337,0.362,189,233,0.811,90,309,399,223,113.0,74,71,41,177,210,1063,114.0,22,32,1084,266,13,13,12,375,11,10,425,13,13,333,21,11,14,17,1160,21,8,1159,1165,13,13,18,1334355
Lineups,-1628368-1641705-,D. Fox - V. Wembanyama,1610612759,SAS,18,11,7,0.611,443.013333,374,786,0.476,117,337,0.347,192,238,0.807,85,319,404,232,114.0,70,69,38,186,209,1057,139.0,29,55,1084,293,14,15,13,340,13,10,499,11,11,346,26,10,11,15,1161,25,9,1145,1170,14,14,9,1329040
Lineups,-1628384-1628973-,O. Anunoby - J. Brunson,1610612752,NYK,15,12,3,0.8,440.366667,391,766,0.51,113,290,0.39,186,232,0.802,77,305,382,236,123.0,82,40,49,186,198,1081,134.0,82,32,554,141,15,9,16,159,18,19,314,15,14,357,34,14,17,13,1168,9,30,1176,1170,16,11,11,1321100
