PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
203903,Jordan Clarkson,Jordan,1610612752,NYK,33.0,72,45,27,0.625,1279.4616666666666,237,526,0.451,70,214,0.327,78,94,0.83,62,65,127,96,63,30,9,26,123,81,622,110,972.4,0,0,993.0,84,60,352,153,219,177,168,312,191,182,341,199,221,170,152,371,318,244,209,286,315,386,406,229,183,112,262,284,38,244,1
1629162,Jordan McLaughlin,Jordan,1610612759,SAS,30.0,44,37,7,0.841,281.6166666666667,33,79,0.418,17,40,0.425,6,7,0.857,7,25,32,38,15,20,2,2,11,8,89,-61,235.4,0,0,220.0,336,136,99,8,442,446,446,431,375,397,48,480,488,116,469,458,463,392,430,348,469,82,82,473,450,405,441,284,38,442,1
1630631,Jose Alvarado,Jose,1610612752,NYK,28.0,69,28,41,0.406,1370.2366666666667,187,449,0.416,101,287,0.352,35,46,0.761,26,145,171,234,77,66,8,26,129,62,510,24,1211.2,1,0,1164.0,118,216,515,382,199,227,207,439,116,112,248,329,333,320,328,233,265,79,161,87,341,386,428,274,232,192,205,201,38,203,2
1628404,Josh Hart,Josh,1610612752,NYK,31.0,66,44,22,0.667,1993.575,301,592,0.508,100,242,0.413,90,125,0.72,93,393,486,317,128,75,17,37,165,136,792,210,1998.7,13,2,1879.0,157,67,279,106,80,123,141,141,120,156,66,169,154,391,85,27,34,45,65,67,233,473,519,124,131,63,81,42,16,81,1
1630577,Julian Champagnie,Julian,1610612759,SAS,24.0,82,62,20,0.756,2265.963333333333,301,689,0.437,195,512,0.381,114,135,0.844,74,399,473,127,69,62,38,11,131,81,911,592,1900.1,7,0,1906.0,1,1,251,43,42,123,101,361,24,24,152,132,144,139,120,26,39,183,188,103,97,233,434,229,102,5,84,72,38,80,1
1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,30.0,75,49,26,0.653,2321.7816666666668,517,1032,0.501,113,307,0.368,357,416,0.858,233,656,889,226,187,65,40,73,255,366,1504,378,3037.8,56,1,2942.0,60,37,338,127,34,28,38,155,100,95,194,16,20,115,7,1,2,86,23,92,89,571,581,11,23,22,15,1,23,14,1
1629640,Keldon Johnson,Keldon,1610612759,SAS,26.0,82,62,20,0.756,1911.4666666666667,414,797,0.519,99,273,0.363,154,194,0.794,137,303,440,111,70,46,11,58,162,146,1081,317,1876.5,5,0,1845.0,1,1,251,43,94,58,77,117,125,122,210,88,91,242,45,58,46,213,184,196,284,554,510,109,71,40,86,96,38,83,1
203482,Kelly Olynyk,Kelly,1610612759,SAS,35.0,42,33,9,0.786,360.2133333333333,47,96,0.49,12,47,0.255,27,38,0.711,24,52,76,49,24,15,3,7,39,39,133,-38,327.7,0,0,306.0,348,175,116,29,419,419,432,184,396,383,455,358,360,409,341,397,389,364,391,393,442,179,180,350,418,362,412,284,38,412,1
1641755,Kevin McCullar Jr.,Kevin,1610612752,NYK,25.0,21,11,10,0.524,154.99333333333334,20,47,0.426,8,24,0.333,2,5,0.4,11,17,28,20,12,9,0,2,22,5,50,-48,128.6,0,0,124.0,444,406,129,284,481,477,481,396,421,431,302,525,508,553,431,487,472,439,447,436,524,82,127,503,480,384,481,284,38,477,1
1629013,Landry Shamet,Landry,1610612752,NYK,29.0,51,35,16,0.686,1171.055,159,364,0.437,103,263,0.392,54,76,0.711,23,69,92,72,30,31,9,18,77,81,475,191,783.4,0,0,822.0,291,162,202,90,243,264,246,362,112,127,116,261,256,409,345,360,364,301,353,279,315,313,286,229,247,76,302,284,38,290,1
1630322,Lindy Waters III,Lindy,1610612759,SAS,28.0,40,31,9,0.775,284.6766666666667,33,88,0.375,27,79,0.342,2,3,0.667,3,26,29,19,7,6,1,2,24,11,95,-5,172.3,0,0,184.0,362,188,116,33,440,446,440,513,331,335,282,525,533,452,508,453,471,441,481,462,493,82,134,458,442,270,462,284,38,455,1
1628436,Luke Kornet,Luke,1610612759,SAS,30.0,68,52,16,0.765,1430.08,175,272,0.643,0,0,0.0,94,114,0.825,181,233,414,126,28,32,65,18,120,125,444,118,1392.8,3,0,1178.0,135,24,202,38,183,246,304,30,517,548,517,161,174,189,18,112,58,185,363,276,36,313,397,137,256,106,167,128,38,200,1
203486,Mason Plumlee,Mason,1610612759,SAS,36.0,20,10,10,0.5,171.48833333333334,11,14,0.786,0,0,0.0,9,14,0.643,17,36,53,20,12,10,0,1,17,15,31,-8,142.6,0,0,124.0,449,411,129,303,476,506,530,2,517,548,517,452,447,482,387,433,430,439,447,428,524,44,108,439,508,285,473,284,38,477,2
1628969,Mikal Bridges,Mikal,1610612752,NYK,29.0,82,53,29,0.646,2691.935,472,963,0.49,156,420,0.371,81,98,0.827,79,233,312,304,83,107,62,19,160,119,1181,298,2435.4,1,0,2291.0,1,19,379,132,6,42,45,181,45,44,183,191,210,182,110,112,118,52,149,11,39,327,507,147,52,44,45,201,38,48,1
1630540,Miles McBride,Miles,1610612752,NYK,25.0,41,25,16,0.61,1080.035,171,404,0.423,112,271,0.413,37,47,0.787,24,76,100,106,33,35,9,11,70,41,491,224,869.0,0,0,897.0,356,243,202,168,266,249,223,407,101,123,65,321,327,259,341,348,354,223,339,259,315,233,269,339,243,59,283,284,38,266,1
1629011,Mitchell Robinson,Mitchell,1610612752,NYK,28.0,60,40,20,0.667,1174.5016666666668,149,206,0.723,0,0,0.0,42,103,0.408,252,273,525,52,41,56,70,10,127,88,340,157,1385.0,6,0,1169.0,214,110,251,106,241,275,347,7,517,548,517,297,200,552,5,77,28,353,297,137,29,216,420,205,307,90,169,84,38,202,1
1642885,Mohamed Diawara,Mohamed,1610612752,NYK,21.0,69,42,27,0.609,634.1516666666666,90,213,0.423,48,130,0.369,18,24,0.75,15,79,94,53,30,17,6,7,50,19,246,58,477.3,0,0,487.0,118,87,352,169,356,354,345,409,256,270,190,401,408,333,401,344,359,350,353,372,375,179,215,415,353,151,372,284,38,362,1
1628384,OG Anunoby,OG,1610612752,NYK,28.0,67,45,22,0.672,2223.8716666666664,389,804,0.484,157,407,0.386,183,221,0.828,85,266,351,145,123,104,48,54,164,157,1118,407,2089.7,5,0,2075.0,147,60,279,105,52,74,73,200,44,49,136,69,74,177,97,82,90,155,76,16,68,540,517,91,65,19,71,96,38,68,1
1642359,Pacôme Dadiet,Pacôme,1610612752,NYK,20.0,29,18,11,0.621,135.76,16,48,0.333,7,32,0.219,9,11,0.818,4,23,27,12,3,3,1,2,8,7,48,-5,107.4,0,0,102.0,415,325,144,159,491,485,479,539,426,412,482,452,457,202,495,463,478,468,514,500,493,82,71,485,482,270,491,284,38,492,1
1630649,Stanley Umude,Stanley,1610612759,SAS,27.0,2,2,0,1.0,6.566666666666666,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0,2,0,2,-17,6.5,0,0,5.0,572,526,1,1,579,574,580,156,517,534,517,563,564,563,565,577,579,561,562,540,524,1,14,571,576,317,576,284,38,578,1
1642264,Stephon Castle,Stephon,1610612759,SAS,21.0,68,51,17,0.75,2037.7433333333333,385,817,0.471,81,244,0.332,282,384,0.734,98,264,362,502,217,78,19,68,222,300,1133,408,2394.4,18,5,2272.0,135,30,216,46,73,76,68,241,162,149,327,33,24,369,77,86,83,9,11,59,217,564,573,24,59,18,47,27,6,49,1
1641998,Trey Jemison III,Trey,1610612752,NYK,26.0,13,10,3,0.769,81.58833333333334,6,10,0.6,0,0,0.0,1,1,1.0,8,10,18,5,10,1,2,0,11,3,13,-29,41.1,0,0,42.0,480,411,44,34,515,528,543,49,517,548,517,546,557,1,455,509,503,521,458,540,469,1,82,528,540,346,538,284,38,528,1
1642278,Tyler Kolek,Tyler,1610612752,NYK,25.0,62,39,23,0.629,727.1616666666666,108,248,0.435,44,114,0.386,14,20,0.7,16,82,98,170,55,22,4,16,65,34,274,106,669.6,2,0,638.0,201,118,289,150,339,327,320,365,270,292,132,423,418,424,396,340,356,127,252,334,418,293,252,365,338,115,328,159,38,328,1
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,64,50,14,0.781,1865.6483333333333,553,1080,0.512,122,350,0.349,372,450,0.827,130,606,736,199,155,66,197,33,156,401,1600,682,3415.7,42,1,3183.0,180,32,175,30,103,21,31,135,83,75,261,12,12,181,51,4,7,100,40,87,1,450,500,7,19,2,5,4,23,9,1
