season,game_id,series_id,game_date,feature_cutoff_date,team_a_id,team_b_id,team_a,team_b,actual_home_team_id,actual_away_team_id,perspective,home_court,rest_diff,travel_miles_diff,travel_data_available,playoff_games_team_a,playoff_games_team_b,playoff_possessions_team_a,playoff_possessions_team_b,recent_net_rating_diff,injury_data_available,rotation_data_available,lineup_data_available,injury_strength_diff,rotation_strength_diff,lineup_strength_diff,team_score,opponent_score,won,regular_net_rating_diff,blended_net_rating_diff,net_rating_diff,net_rating_playoff_weight_a,net_rating_playoff_weight_b,regular_efg_pct_diff,blended_efg_pct_diff,efg_pct_diff,efg_pct_playoff_weight_a,efg_pct_playoff_weight_b,regular_tov_pct_diff,blended_tov_pct_diff,tov_pct_diff,tov_pct_playoff_weight_a,tov_pct_playoff_weight_b,regular_oreb_pct_diff,blended_oreb_pct_diff,oreb_pct_diff,oreb_pct_playoff_weight_a,oreb_pct_playoff_weight_b,regular_fta_rate_diff,blended_fta_rate_diff,fta_rate_diff,fta_rate_playoff_weight_a,fta_rate_playoff_weight_b,regular_pace_diff,blended_pace_diff,pace_diff,pace_playoff_weight_a,pace_playoff_weight_b
2014-15,0041400121,2014-15:1610612741:1610612749,2015-04-18,,1610612741,1610612749,CHI,MIL,1610612741,1610612749,home,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,103.0,91.0,1,2.4,2.4,2.4,0.0,0.0,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.0,0.0,-0.027999999999999997,-0.027999999999999997,-0.027999999999999997,0.0,0.0,0.02200000000000002,0.02200000000000002,0.02200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.019999999999996,-1.019999999999996,-1.019999999999996,0.0,0.0
2014-15,0041400121,2014-15:1610612741:1610612749,2015-04-18,,1610612749,1610612741,MIL,CHI,1610612741,1610612749,away,-1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,91.0,103.0,0,-2.4,-2.4,-2.4,0.0,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.0,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.0,0.0,-0.02200000000000002,-0.02200000000000002,-0.02200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019999999999996,1.019999999999996,1.019999999999996,0.0,0.0
2014-15,0041400131,2014-15:1610612761:1610612764,2015-04-18,,1610612761,1610612764,TOR,WAS,1610612761,1610612764,home,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,86.0,93.0,0,2.5,2.5,2.5,0.0,0.0,0.009000000000000008,0.009000000000000008,0.009000000000000008,0.0,0.0,-0.01999999999999999,-0.01999999999999999,-0.01999999999999999,0.0,0.0,0.013000000000000012,0.013000000000000012,0.013000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8300000000000125,-0.8300000000000125,-0.8300000000000125,0.0,0.0
2014-15,0041400131,2014-15:1610612761:1610612764,2015-04-18,,1610612764,1610612761,WAS,TOR,1610612761,1610612764,away,-1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,93.0,86.0,1,-2.5,-2.5,-2.5,0.0,0.0,-0.009000000000000008,-0.009000000000000008,-0.009000000000000008,0.0,0.0,0.01999999999999999,0.01999999999999999,0.01999999999999999,0.0,0.0,-0.013000000000000012,-0.013000000000000012,-0.013000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000125,0.8300000000000125,0.8300000000000125,0.0,0.0
2014-15,0041400141,2014-15:1610612740:1610612744,2015-04-18,,1610612744,1610612740,GSW,NOP,1610612744,1610612740,home,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,106.0,99.0,1,9.1,9.1,9.1,0.0,0.0,0.039000000000000035,0.039000000000000035,0.039000000000000035,0.0,0.0,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0,0.0,-0.035999999999999976,-0.035999999999999976,-0.035999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.989999999999995,6.989999999999995,6.989999999999995,0.0,0.0
2014-15,0041400141,2014-15:1610612740:1610612744,2015-04-18,,1610612740,1610612744,NOP,GSW,1610612744,1610612740,away,-1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,99.0,106.0,0,-9.1,-9.1,-9.1,0.0,0.0,-0.039000000000000035,-0.039000000000000035,-0.039000000000000035,0.0,0.0,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,0.0,0.0,0.035999999999999976,0.035999999999999976,0.035999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.989999999999995,-6.989999999999995,-6.989999999999995,0.0,0.0
2014-15,0041400151,2014-15:1610612742:1610612745,2015-04-18,,1610612745,1610612742,HOU,DAL,1610612745,1610612742,home,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,118.0,108.0,1,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.0,0.0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,0.0,0.0,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.0,0.0,0.035999999999999976,0.035999999999999976,0.035999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599999999999937,0.9599999999999937,0.9599999999999937,0.0,0.0
2014-15,0041400151,2014-15:1610612742:1610612745,2015-04-18,,1610612742,1610612745,DAL,HOU,1610612745,1610612742,away,-1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,108.0,118.0,0,-0.19999999999999973,-0.19999999999999973,-0.19999999999999973,0.0,0.0,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0,0.0,-0.037000000000000005,-0.037000000000000005,-0.037000000000000005,0.0,0.0,-0.035999999999999976,-0.035999999999999976,-0.035999999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9599999999999937,-0.9599999999999937,-0.9599999999999937,0.0,0.0
2014-15,0041400101,2014-15:1610612737:1610612751,2015-04-19,,1610612737,1610612751,ATL,BKN,1610612737,1610612751,home,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,99.0,92.0,1,8.9,8.9,8.9,0.0,0.0,0.03600000000000003,0.03600000000000003,0.03600000000000003,0.0,0.0,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0,0.0,-0.014000000000000012,-0.014000000000000012,-0.014000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699999999999989,0.9699999999999989,0.9699999999999989,0.0,0.0
2014-15,0041400101,2014-15:1610612737:1610612751,2015-04-19,,1610612751,1610612737,BKN,ATL,1610612737,1610612751,away,-1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,,92.0,99.0,0,-8.9,-8.9,-8.9,0.0,0.0,-0.03600000000000003,-0.03600000000000003,-0.03600000000000003,0.0,0.0,-0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036,0.0,0.0,0.014000000000000012,0.014000000000000012,0.014000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9699999999999989,-0.9699999999999989,-0.9699999999999989,0.0,0.0
